"id";"nom";"marque";"categorie";"prix";"couleur";"motif_ecaille"
"8260236";"Lunettes de soleil aviateur avec emblème Medusa sur le côté";"Versace";"aviateur";"267,99 €";"Noir";"FALSE"
"8260234";"Lunettes de soleil aviateur";"Versace";"aviateur";"279,99 €";"Noir";"FALSE"
"8166034";"Lunettes de soleil aviateur";"Reclaimed Vintage";"aviateur";"27,99 €";"Doré";"FALSE"
"8576633";"Lunettes aviateur à verres transparents de forme angulaire";"ASOS";"aviateur";"16,99 €";"Réinitialiser";"FALSE"
"8424238";"Lunettes de soleil aviateur ";"Pull&Bear";"aviateur";"14,99 €";"Doré";"FALSE"
"8275328";"0RB3561 ";"Ray-Ban";"aviateur";"177,99 €";"Doré";"FALSE"
"8126256";"Lunettes aviateur rondes dorées avec verres dégradés bleu et rose";"ASOS";"aviateur";"13,99 €";"Doré";"FALSE"
"8186908";"Lunettes de soleil aviateur";"AJ Morgan";"aviateur";"20,99 €";"Noir";"FALSE"
"7932164";"Lunettes de soleil aviateur avec cache sur le côté ";"ASOS";"aviateur";"18,99 €";"Doré";"FALSE"
"8220787";"Lunettes de soleil aviateur avec verres bleus";"AJ Morgan";"aviateur";"20,99 €";"Argenté";"FALSE"
"8139171";"Lunettes de soleil aviateur à verres roses";"Jeepers Peepers";"aviateur";"32,99 €";"Doré";"FALSE"
"7784873";"Lunettes de soleil aviateur à branches métalliques ";"ASOS";"aviateur";"13,99 €";"Noir";"FALSE"
"7935818";"Lunettes de soleil aviateur ";"New Look";"aviateur";"10,99 €";"Doré";"FALSE"
"5933122";"Lunettes aviateur à verres miroir ";"ASOS";"aviateur";"10,99 €";"Argenté";"FALSE"
"8294963";"Lunettes aviateur en métal avec verres transparents irisés ";"ASOS";"aviateur";"13,99 €";"Argenté";"FALSE"
"7461915";"Lunettes de soleil aviateur avec barre supérieure dorée";"ASOS";"aviateur";"16,99 €";"Doré";"FALSE"
"8294953";"Lunettes de soleil aviateur à verres bleus ";"ASOS";"aviateur";"13,99 €";"Doré";"FALSE"
"7786153";"Lunettes de soleil aviateur en métal à verres bleus ";"ASOS";"aviateur";"16,99 €";"Bleu";"FALSE"
"8760410";"Beta Matrix ";"Spitfire";"aviateur";"37,99 €";"Argenté";"FALSE"
"8275391";"0RB3422Q ";"Ray-Ban";"aviateur";"199,99 €";"Noir";"FALSE"
"7927332";"Lunettes de soleil aviateur en métal brossé ";"ASOS";"aviateur";"13,99 €";"Cuivre";"FALSE"
"8258793";"Lunettes de soleil aviateur";"Polo Ralph Lauren";"aviateur";"235,99 €";"Marron";"FALSE"
"7932124";"Lunettes de soleil aviateur à verres plats ";"ASOS";"aviateur";"18,99 €";"Noir";"FALSE"
"8279724";"Lunettes de soleil aviateur";"Dolce & Gabbana";"aviateur";"233,99 €";"Réinitialiser";"FALSE"
"8275468";"0RB4125 ";"Ray-Ban";"aviateur";"166,99 €";"Écaille de tortue";"FALSE"
"8275402";"0RB3570 ";"Ray-Ban";"aviateur";"199,99 €";"Noir";"FALSE"
"8275342";"0RB3561 ";"Ray-Ban";"aviateur";"221,99 €";"Noir";"FALSE"
"8258790";"Lunettes de soleil aviateur";"Polo Ralph Lauren";"aviateur";"144,99 €";"Argenté";"FALSE"
"8324672";"Lunettes de soleil aviateur en métal ";"AJ Morgan";"aviateur";"20,99 €";"Doré";"FALSE"
"8258792";"Lunettes de soleil aviateur";"Polo Ralph Lauren";"aviateur";"166,99 €";"Noir";"FALSE"
